SRC	TRG
the divorce was finalized this morning at the attorney s office .	le divorce a finalement ete prononce ce matin au bureau du juge .
i missed going out with her and eating at our favorite restaurant .	sortir avec elle et manger a notre restaurant prefere me manquait .
it is hard to tell the difference between the truth and lies .	il est difficile de distinguer la verite du mensonge .
tom has not yet finished reading the book that you lent him .	tom n a pas encore fini de lire le livre que tu lui as prete .
the waitress spread a white cloth over the table .	la serveuse a etendu une nappe blanche sur la table .
her hair was so long that it reached the floor .	sa chevelure etait tellement longue qu elle atteignait le sol .
i know it is in the apartment , but i cannot find it .	je sais que c est dans l appartement mais je ne parviens pas a le trouver .
he went to the bank and changed his money .	il est alle a la banque et a change son argent .
shall i ask her to send the book to us ?	dois je lui demander de nous envoyer le livre ?
about how much would it cost to have this chair repaired ?	a peu pres combien ca couterait pour faire reparer cette chaise ?
you work too hard these days . are not you tired ?	vous travaillez trop ces derniers temps . n etes vous donc pas fatigues ?
i would really like to know why you did not do what i asked you to do .	j aimerais vraiment savoir pourquoi tu n as pas fait ce que je t avais demande .
we should keep every school open and every teacher in his job .	nous devrions garder ouverte chaque ecole et chaque enseignant a son poste .
i hope to see reindeer on my trip to sweden .	j espere voir des rennes lors de mon voyage en suede .
you are the one who decided to do this job , right ?	c est toi qui as decide d effectuer ce boulot pas vrai ?
would you like a glass of orange juice with your breakfast ?	voudriez vous un verre de jus d orange avec votre petit dejeuner ?
i am in no position to do anything about it .	je ne suis pas en mesure de faire quoique ce soit a ce sujet .
tom had better hurry or he will miss the bus .	tom ferait mieux de se depecher ou il ratera le bus .
it used to be that people thought it was necessary to eat three square meals a day .	il etait un temps ou les gens pensaient qu il etait necessaire de manger trois repas complets par jour .
when i grow up , i want to be a train conductor .	quand je serai grand je veux etre conducteur de train .
tom is thirty years old . he is not really that old , is he ?	 tom a trente ans . il n est pas si vieux que ca n est ce pas ? 
i shudder at the thought of what might happen .	je fremis a l idee de ce qui pourrait arriver .
the bat was stolen yesterday , along with the balls .	la batte de baseball a ete volee hier tout comme les balles .
i am going to sit on the bench over there next to the street lamp .	je vais m asseoir sur le banc la bas pres du lampadaire .
i understand your point of view , but do not agree with it .	je comprends ton point de vue mais ne suis pas d accord avec .
could we get a bottle of your best champagne ?	pourrions nous avoir une bouteille de votre meilleur champagne ?
do we have time for another cup of coffee ?	a t on le temps de prendre une autre tasse de cafe ?
is this the book you spoke of the other day ?	c est le livre dont tu as parle l autre jour ?
we will ship the product immediately after receiving your order .	nous vous expedierons le produit immediatement apres avoir recu votre commande .
my younger brother swims every day in the summer .	mon frere cadet nage tous les jours durant l ete .
my parents do not like my girlfriend . they think that she is not good enough for me .	mes parents n aiment pas ma petite amie . ils pensent qu elle n est pas assez bien pour moi .
quite a few people were present at the meeting yesterday .	pas mal de gens etaient presents a la reunion d hier .
my cat likes it when we scratch him behind the ears .	mon chat aime qu on lui gratte derriere les oreilles .
in the summer , the temperature ranges from thirty to forty degrees celsius .	pendant l ete la temperature oscille entre trente et quarante degres celsius .
i do not believe half of what i have been told about you .	je ne crois pas la moitie de ce qu on m a dit sur toi .
tom had to swallow his pride and admit that he needed help .	tom a du ravaler sa fierte et admettre qu il avait besoin d aide .
both my father and my brother work in this factory .	mon pere et mon frere travaillent tous les deux dans cette usine .
i never thought i would be happy to see you .	je n ai jamais pense que je serais heureux de te voir .
i think it is time for me to ask for her help .	je pense qu il est temps pour moi de lui demander son aide .
food must be chewed well to be digested properly .	la nourriture doit etre bien mastiquee pour etre digeree correctement .
tom wondered how long it would take to finish the job .	tom se demandait combien de temps il faudrait pour terminer le travail .
we were all ears when he started to tell us his secret .	nous etions tout ouies lorsqu il a commence a nous conter son secret .
i would like to know a little bit more about you .	j aimerais en savoir un petit peu plus a ton sujet .
would you get me a cup of coffee ? with pleasure , my dear .	 voudriez vous m apporter une tasse de cafe ? avec plaisir ma chere . 
our new method of doing that is quicker and more efficient .	notre nouvelle methode pour faire cela est plus rapide et plus efficace .
according to legend , those woods used to be haunted , so people would avoid entering .	selon la legende ces bois etaient hantes aussi les gens evitaient d y penetrer .
i cannot believe you did all this without any help .	je n arrive pas a croire que vous ayez fait tout cela sans aucune aide .
this year s fashions are completely different to last year s .	la mode de cette annee est completement differente de celle de l an dernier .
no matter how tired i might be , i have to work .	aussi fatigue que je puisse etre je dois travailler .
he is good at voicing the concerns others are too nervous to speak up about .	il est bon pour exprimer les inquietudes que les autres sont trop nerveux pour soulever .
if you agree to buy , of them , we will give you a percent discount .	si vous acceptez d en commander nous vous faisons une remise de trois pour cent .
he was given a gold watch as a reward .	on lui a donne une montre en or en recompense .
the problem with many things is the pre conceived ideas we have about them !	le probleme avec beaucoup de choses sont les idees preconcues que nous avons a leur sujet !
tom spent the whole morning getting ready for his presentation .	tom a passe toute la matinee a se preparer pour sa presentation .
i cannot count the number of times tom has complained about that .	je ne peux pas compter le nombre de fois ou tom s est plaint a ce sujet .
there are three men in the next room waiting for you .	il y a trois hommes qui t attendent dans la piece a cote .
nickel is a hard metal with a silvery luster .	le nickel est un metal dur avec un eclat argente .
tom told mary that she should be ashamed of herself .	tom a dit a mary qu elle devrait avoir honte .
we stayed at the most expensive hotel in town .	nous avons sejourne dans l hotel le plus cher de la ville .
tom tried to kiss mary , but she backed away .	tom essaya d embrasser marie mais elle se pencha en arriere .
what do you say to playing tennis with me ?	que dis tu de jouer au tennis avec moi ?
it looks like tom was able to get what he wanted .	on dirait que tom a ete capable d obtenir ce qu il voulait .
i am going to do an internship at a local company .	je vais faire un stage dans une entreprise locale .
we have to find another way to do that .	nous devons trouver une autre facon de faire ca .
i guess you never learned how to do this .	je suppose que vous n avez jamais appris a faire ca .
what are the chances that tom will actually get the job ?	quelles sont reellement les chances que tom decroche ce travail ?
he wanted his ashes spread over the ocean after he died .	il voulait que ses cendres soient dispersees au dessus de l ocean apres sa mort .
i do not want to see him , let alone go out with him .	je ne veux pas le voir encore moins sortir avec lui .
if more people had voted , we would have won the election .	si plus de gens avaient vote nous aurions gagne les elections .
i would like tom to spend some time with our children .	je voudrais que tom passe un peu de temps avec nos enfants .
the war between the two countries ended with a big loss for both sides .	la guerre entre les deux pays s est termine par de lourdes pertes dans les deux camps .
we did not have to do that , but we did .	nous n avions pas a le faire mais nous l avons fait .
i have a friend whose father is a famous pianist .	j ai un ami dont le pere est un pianiste connu .
that was such a good book that i read it three times .	c etait un livre tellement bien que je l ai lu trois fois .
frederic chopin wrote his first composition when he was seven years old .	frederic chopin a ecrit sa premiere uvre a ans .
what do you say we buy everyone a drink ?	que dis tu de payer une tournee a tout le monde ?
i cannot afford to shop at such an expensive store .	je n ai pas les moyens de faire mes courses dans un magasin aussi cher .
if you want to learn the truth , sit down and listen .	si tu veux connaitre la verite assis toi et ecoute .
i want to wait and see what tom proposes .	je veux attendre et voir ce que tom propose .
abraham lincoln , the th president of the united states , was born in a log cabin in kentucky .	abraham lincoln le e president des etats unis est ne dans une fuste au kentucky .
