VI,EN
Chính trong một trận động đất lớn đã phá hủy Tokyo.,it was in the s that a big earthquake destroyed tokyo .
Bạn có thể đưa cho tôi tờ báo trên bàn không?,could you hand me the newspaper on the table ?
Tôi phải làm tốt nhất căn phòng nhỏ đó.,i have to make the best of that small room .
Một người chú là anh trai của một trong những cha mẹ của bạn.,an uncle is the brother of one of your parents .
Anh ta mất gần như tất cả những con tem anh ta đã thu thập được.,he lost almost all the stamps he had collected .
Tôi phải thừa nhận rằng tôi chưa bao giờ nghĩ về điều đó.,i have to admit i never thought of that .
Mọi người thường cười anh ấy sau lưng anh ấy.,people used to laugh at him behind his back .
"Vợ anh bây giờ đã phải chăm sóc ông của mình, chưa kể đến hai đứa con của họ.","his wife now had to take care of his grandfather , not to mention their two children ."
Anh sẽ sớm chết hơn là dậy sớm mỗi sáng.,he would sooner die than get up early every morning .
"Một cô gái đang chạy, với mái tóc của cô ấy trong gió.","a girl came running , with her hair streaming in the wind ."
Thật khó để cô ấy kìm nén cảm xúc của mình.,it was very hard for her to suppress her emotions .
Sức mạnh của vóc dáng của anh ấy là hiển nhiên cho tất cả những ai nhìn anh ấy.,the power of his physique is evident to all who look at him .
Tôi nghĩ chắc chắn bạn sẽ ở lại Nhật Bản mãi mãi.,i thought for sure you would stay in japan forever .
Tôi đã viết một lá thư dài hơn nếu tôi có nhiều thời gian hơn.,i would have written a longer letter if i would had more time .
"Nếu tôi nói với cô ấy sự thật, cô ấy sẽ không bao giờ tha thứ cho tôi.","if i tell her the truth , she will never forgive me ."
"Giữa bạn và tôi, ý tưởng của Tom không hấp dẫn tôi nhiều.","between you and me , tom s idea does not appeal to me very much ."
"Nếu bạn không phải là một phần của giải pháp, bạn là một phần của vấn đề.","if you are not part of the solution , you are part of the problem ."
Tom hỏi Mary rằng cô có kế hoạch bơi hay không.,tom asked mary whether she planned to swim or not .
Tôi đã làm mọi thứ có thể để trở thành bạn của bạn.,i did everything i could to be your friend .
"Sau khi đi bộ khoảng một giờ, chúng tôi đã đến hồ.","after walking for about an hour , we got to the lake ."
Tôi biết bạn đã có nhiều điều quan trọng hơn để suy nghĩ.,i know you have got more important things to think about .
